date,title,href,author,view,up,down,page
2026.03.09 14:00,오늘 3000원 넘자,https://finance.naver.com/item/board_read.naver?code=238090&nid=414497293&page=1,to1804,6,1,0,1
2026.03.09 13:39,막판 상한가 가자~~~ [ 1 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414494113&page=1,to1804,23,1,0,1
2026.03.09 10:18,우회상장. [ 1 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414457782&page=1,윤무당,99,2,0,1
2026.03.09 09:39,앤디,https://finance.naver.com/item/board_read.naver?code=238090&nid=414448372&page=1,대박으로가자osh,38,4,2,1
2026.03.09 09:37,저승길 조심하라. [ 3 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414447959&page=1,경남호유,100,1,5,1
2026.03.09 09:37,탈출은  지능순 [ 1 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414447802&page=1,정매매,49,2,6,1
2026.03.09 09:33,임마 이거 왜 헷징주가 된거고?,https://finance.naver.com/item/board_read.naver?code=238090&nid=414446929&page=1,완벽한배당주두루미,28,1,1,1
2026.03.09 09:21,100%폭등했습니다 [ 2 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414442556&page=1,정매매,90,1,2,1
2026.03.09 09:20,5% 이상 상승했어요 🎉,https://finance.naver.com/item/board_read.naver?code=238090&nid=414442044&page=1,앤디포스 소식,9,2,0,1
2026.03.09 09:01,5% 이상 하락했어요 😞,https://finance.naver.com/item/board_read.naver?code=238090&nid=414436225&page=1,앤디포스 소식,11,0,0,1
2026.03.09 07:25,다필요없고,https://finance.naver.com/item/board_read.naver?code=238090&nid=414423101&page=1,가스끼,50,6,0,1
2026.03.06 20:09,[AI 요약] 앤디포스가 투자주의 종목으로 ...,https://finance.naver.com/item/board_read.naver?code=238090&nid=414364313&page=1,앤디포스 소식,282,0,3,1
2026.03.06 14:34,입성 [ 1 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414336276&page=1,zeromoontwo,345,10,2,1
2026.03.06 14:33,14층 [ 6 ],https://finance.naver.com/item/board_read.naver?code=238090&nid=414336157&page=1,14층,515,11,0,1
